"","n_clusters","n_obs_per_cluster","true_beta","beta_est_mean","min_beta_est","max_beta_est","beta_bias_mean","beta_est_var","power","ci_coverage","c1_c2_ratio"
"beta_est...1",10,19,0.5,0.624082121216107,-1.10422185552443,2.4958829872898,0.124082121216106,0.458960580897205,0.29,0.82,2
"beta_est...2",15,12,0.5,0.528787529441404,-0.532561991025448,1.64361859664634,0.028787529441404,0.218669806669703,0.19,0.94,2
"beta_est...3",20,9,0.5,0.498880626651893,-0.814732750268659,1.5046075962649,-0.00111937334810701,0.199100456637662,0.25,0.93,2
"beta_est...4",25,7,0.5,0.521475273163129,-0.685457297160367,1.63548472097218,0.0214752731631286,0.187970241337413,0.3,0.92,2
"beta_est...5",30,5,0.5,0.513354666408607,-0.397346308230329,1.36878648980505,0.0133546664086074,0.182563596572839,0.37,0.87,2
"beta_est...6",35,4,0.5,0.481809487730911,-0.259437337001672,1.51149081140564,-0.0181905122690888,0.107972677404755,0.3,0.91,2
"beta_est...7",40,4,0.5,0.476394616070402,-0.425101681888311,1.44151829833388,-0.0236053839295973,0.098224972500182,0.37,0.95,2
"beta_est...8",45,3,0.5,0.494150970192802,-0.322792598076675,1.24680622777485,-0.00584902980719791,0.101294226074461,0.37,0.94,2
"beta_est...9",50,3,0.5,0.436052084566864,-0.257253724060456,1.11736654552236,-0.0639479154331357,0.0896187221557588,0.35,0.92,2
"beta_est...10",10,46,0.5,0.531933628722355,-0.958565545800649,1.94377038855412,0.031933628722355,0.365702355248711,0.19,0.91,5
"beta_est...11",15,29,0.5,0.618702698034911,-0.660717526622008,2.05546905495108,0.118702698034911,0.285743687901401,0.24,0.89,5
"beta_est...12",20,21,0.5,0.389179008669325,-0.62916105835842,1.65474836080032,-0.110820991330676,0.247340683891817,0.24,0.88,5
"beta_est...13",25,16,0.5,0.477461065909847,-0.468511308008379,1.32113755776813,-0.0225389340901534,0.117573635530502,0.16,0.97,5
"beta_est...14",30,12,0.5,0.513468364199586,-0.368748687633072,1.42536888558192,0.0134683641995858,0.146401147252414,0.34,0.9,5
"beta_est...15",35,10,0.5,0.4803484146321,-0.358524555556093,1.51571610613353,-0.0196515853678998,0.123738897224075,0.3,0.9,5
"beta_est...16",40,8,0.5,0.483643324267447,-0.346258774972678,1.04838495030354,-0.0163566757325528,0.0919739041659735,0.38,0.96,5
"beta_est...17",45,7,0.5,0.488615965756339,-0.274072348760259,1.11542471102158,-0.0113840342436612,0.0788394339062441,0.39,0.95,5
"beta_est...18",50,6,0.5,0.530231219986602,-0.0802564727410847,1.29693226171835,0.0302312199866015,0.0922784897398601,0.54,0.93,5
"beta_est...19",10,91,0.5,0.477888026351415,-1.35002978060502,2.48386128088244,-0.0221119736485854,0.530429167433234,0.25,0.86,10
"beta_est...20",15,57,0.5,0.45611584498964,-1.60288249506412,1.92285132024375,-0.0438841550103606,0.316147892435689,0.22,0.91,10
"beta_est...21",20,41,0.5,0.509768947971335,-0.677742250539685,1.55343389861638,0.00976894797133482,0.20472070790068,0.27,0.95,10
"beta_est...22",25,31,0.5,0.422618406900762,-0.720030257973482,1.74192060670297,-0.077381593099238,0.13300368702819,0.14,0.94,10
"beta_est...23",30,24,0.5,0.509027971781866,-0.561779499024046,1.44320424466004,0.00902797178186568,0.143231333503922,0.29,0.92,10
"beta_est...24",35,19,0.5,0.493358682937231,-0.546157185330182,1.4081963603978,-0.00664131706276906,0.115565064412938,0.27,0.91,10
"beta_est...25",40,16,0.5,0.490395920826489,-0.19015488252876,1.47395301440285,-0.00960407917351146,0.102358645392559,0.38,0.93,10
"beta_est...26",45,13,0.5,0.515352294380381,-0.0795580300017085,1.31237177456528,0.015352294380381,0.0797359348691046,0.39,0.94,10
"beta_est...27",50,11,0.5,0.440859524565187,-0.130043988581845,0.964812621476698,-0.0591404754348128,0.0642979209092882,0.36,0.98,10
"beta_est...28",10,181,0.5,0.371684408981716,-1.24633798141347,2.35549039442868,-0.128315591018284,0.464622645302393,0.19,0.84,20
"beta_est...29",15,114,0.5,0.482305512318369,-0.579778596269435,1.66165077306778,-0.0176944876816306,0.24529875858895,0.18,0.92,20
"beta_est...30",20,81,0.5,0.532017817804638,-0.468425853727857,1.4916644892788,0.0320178178046385,0.180759271500939,0.26,0.96,20
"beta_est...31",25,61,0.5,0.460943313207096,-0.501416493295215,1.6088077915833,-0.0390566867929037,0.15488369980083,0.19,0.95,20
"beta_est...32",30,47,0.5,0.57653289067661,-0.0733113079910419,1.66541521782105,0.07653289067661,0.1180217897235,0.39,0.95,20
"beta_est...33",35,38,0.5,0.483971888502182,-0.355847604343562,1.39668751072893,-0.0160281114978182,0.119319342648405,0.32,0.92,20
"beta_est...34",40,31,0.5,0.519833007465132,-0.344974702213788,1.19967073081753,0.0198330074651322,0.121337327804863,0.44,0.93,20
"beta_est...35",45,25,0.5,0.46530179448929,-0.558289466900194,1.25630895413711,-0.0346982055107096,0.0888971913364636,0.34,0.94,20
"beta_est...36",50,21,0.5,0.562699225272207,-0.277071438229831,1.3742961659239,0.0626992252722072,0.0895845165799542,0.55,0.92,20
