"","beta","gamma2","sigma2","icc","c1","c1_c2_ratio","n_clusters","n_obs_per_cluster","avg_beta_est","avg_beta_bias","avg_mse","avg_ci_coverage","beta_est_var","power","type_I_error"
"beta_est...1",0.05,1,0.1,0.909090909090909,20,2,50,3,0.0665759605709841,0.0165759605709841,0.06735030490241,0.97,0.0811212184989533,0.06,0
"beta_est...2",0.5,1,0.1,0.909090909090909,20,2,50,3,0.492610557167425,-0.00738944283257474,0.0665809912097012,0.93,0.0970961875787394,0.41,0
"beta_est...3",1.5,1,0.1,0.909090909090909,20,2,50,3,1.50237111302159,0.00237111302159224,0.0667010346537467,0.98,0.0807865211642404,1,0
"beta_est...4",0.05,1,1.2,0.454545454545455,20,2,50,3,0.0247804396143331,-0.0252195603856669,0.914184272883839,0.92,0.149202720260797,0.06,0
"beta_est...5",0.5,1,1.2,0.454545454545455,20,2,50,3,0.459829819575535,-0.0401701804244648,0.929279386337166,0.95,0.133100853684171,0.28,0
"beta_est...6",1.5,1,1.2,0.454545454545455,20,2,50,3,1.48025001119923,-0.0197499888007708,0.931244008845009,0.94,0.102951559074058,1,0
"beta_est...7",0.05,1,2.3,0.303030303030303,20,2,50,3,0.0807069098288506,0.0307069098288506,1.88339664920275,0.94,0.132306967632307,0.08,0
"beta_est...8",0.5,1,2.3,0.303030303030303,20,2,50,3,0.499393210270853,-0.000606789729147192,1.91062002329671,0.93,0.154954740031338,0.26,0
"beta_est...9",1.5,1,2.3,0.303030303030303,20,2,50,3,1.4598268606279,-0.0401731393720957,1.8384138504253,0.95,0.148235205514637,0.96,0
"beta_est...10",0.05,1,3.4,0.227272727272727,20,2,50,3,0.0312693707749465,-0.0187306292250535,2.8735605809304,0.93,0.165375820023903,0.06,0
"beta_est...11",0.5,1,3.4,0.227272727272727,20,2,50,3,0.506156506812861,0.00615650681286096,2.84963658360591,0.97,0.143723793869279,0.22,0
"beta_est...12",1.5,1,3.4,0.227272727272727,20,2,50,3,1.50581614647303,0.00581614647302833,2.87686983339679,0.98,0.127731771634768,0.95,0
"beta_est...13",0.05,1,4.5,0.181818181818182,20,2,50,3,-0.0361768390728866,-0.0861768390728866,3.9036718186709,0.95,0.200931952316727,0.03,0
"beta_est...14",0.5,1,4.5,0.181818181818182,20,2,50,3,0.495810275836907,-0.00418972416309308,4.01911050708851,0.97,0.17320348217916,0.19,0
"beta_est...15",1.5,1,4.5,0.181818181818182,20,2,50,3,1.5001349282851,0.000134928285100825,3.93206659380213,0.95,0.227382727126745,0.91,0
"beta_est...16",0.05,1,5.6,0.151515151515152,20,2,50,3,0.0907801568017637,0.0407801568017637,5.04752381515077,0.92,0.288992774107947,0.08,0
"beta_est...17",0.5,1,5.6,0.151515151515152,20,2,50,3,0.528990238382618,0.028990238382618,4.94448412678652,0.98,0.210403124253836,0.19,0
"beta_est...18",1.5,1,5.6,0.151515151515152,20,2,50,3,1.54444416125469,0.044444161254692,4.90973407722773,0.92,0.222874592906878,0.89,0
"beta_est...19",0.05,1,6.7,0.12987012987013,20,2,50,3,0.0565497025999551,0.00654970259995508,6.0234457889497,0.93,0.323394652491557,0.07,0
"beta_est...20",0.5,1,6.7,0.12987012987013,20,2,50,3,0.46629734969175,-0.0337026503082507,6.15266871279082,0.93,0.30221614716374,0.19,0
"beta_est...21",1.5,1,6.7,0.12987012987013,20,2,50,3,1.52535872111998,0.0253587211199767,6.11340659349886,0.97,0.262225774992474,0.79,0
"beta_est...22",0.05,1,7.8,0.113636363636364,20,2,50,3,0.0474563445352252,-0.00254365546477485,6.88545803839575,0.98,0.261562885899636,0.02,0
"beta_est...23",0.5,1,7.8,0.113636363636364,20,2,50,3,0.573175435338066,0.0731754353380661,6.91988064951437,0.92,0.365985395195436,0.23,0
"beta_est...24",1.5,1,7.8,0.113636363636364,20,2,50,3,1.48318375891858,-0.0168162410814245,7.04166477853853,0.93,0.380906460372815,0.76,0
"beta_est...25",0.05,1,8.9,0.101010101010101,20,2,50,3,0.0861965102930707,0.0361965102930707,7.89488538067601,0.98,0.280060156035423,0.03,0
"beta_est...26",0.5,1,8.9,0.101010101010101,20,2,50,3,0.540394704555977,0.040394704555977,7.91557481791151,0.94,0.301726120706667,0.12,0
"beta_est...27",1.5,1,8.9,0.101010101010101,20,2,50,3,1.56512016394048,0.0651201639404825,8.09085265342621,0.95,0.308825422767767,0.77,0
"beta_est...28",0.05,1,10,0.0909090909090909,20,2,50,3,-0.116280426116541,-0.166280426116541,8.96547877668123,0.92,0.391421684085664,0.08,0
"beta_est...29",0.5,1,10,0.0909090909090909,20,2,50,3,0.540208440807644,0.0402084408076439,9.22661196688708,0.97,0.335532969619898,0.15,0
"beta_est...30",1.5,1,10,0.0909090909090909,20,2,50,3,1.48739653346371,-0.0126034665362875,9.12072429423782,0.95,0.343907578009411,0.64,0
"beta_est...31",0.05,1,0.1,0.909090909090909,20,5,50,6,0.0325702677385206,-0.0174297322614794,0.0838243839370465,0.95,0.0843021878594881,0.05,0
"beta_est...32",0.5,1,0.1,0.909090909090909,20,5,50,6,0.477617959915652,-0.0223820400843481,0.0831657423904333,0.94,0.0836229614753576,0.37,0
"beta_est...33",1.5,1,0.1,0.909090909090909,20,5,50,6,1.44696479418248,-0.0530352058175203,0.083417270003549,0.94,0.0677168650422309,1,0
"beta_est...34",0.05,1,1.2,0.454545454545455,20,5,50,6,0.0807931696058728,0.0307931696058727,1.02075854352371,0.95,0.1151450770629,0.05,0
"beta_est...35",0.5,1,1.2,0.454545454545455,20,5,50,6,0.493117445467596,-0.00688255453240391,1.02586405057806,0.96,0.0925950835462298,0.34,0
"beta_est...36",1.5,1,1.2,0.454545454545455,20,5,50,6,1.53775244707687,0.037752447076867,1.05341760402326,0.95,0.0999248556480889,0.99,0
