"","n_clusters","n_obs_per_cluster","true_beta","beta_est_mean","beta_bias_mean","beta_est_var","power","ci_coverage","gamma2","beta","c1_c2_ratio"
"beta_est...1",20,9,1.5,1.39646473143697,-0.103535268563032,0.00199591590058743,1,1,0.1,1.5,2
"beta_est...2",20,9,3,3.11452019858215,0.114520198582144,0.0023835781789653,1,1,0.1,3,2
"beta_est...3",20,9,5,4.75371214566868,-0.246287854331318,0.000846781493224235,1,0.67,0.1,5,2
"beta_est...4",20,9,1.5,1.69293648424554,0.192936484245537,0.00180980444100285,1,1,1.2,1.5,2
"beta_est...5",20,9,3,3.32095412975197,0.320954129751965,0.00232954164845115,1,1,1.2,3,2
"beta_est...6",20,9,5,5.12064615114106,0.120646151141063,0.00238638118930804,1,1,1.2,5,2
"beta_est...7",20,9,1.5,1.42889030314474,-0.0711096968552647,0.00461626240649329,0.22,1,2.3,1.5,2
"beta_est...8",20,9,3,2.43014878008559,-0.569851219914413,0.00181252971543296,1,1,2.3,3,2
"beta_est...9",20,9,5,5.43174683120534,0.431746831205338,0.00405451310021692,1,1,2.3,5,2
"beta_est...10",20,9,1.5,3.10581865627018,1.60581865627017,0.00910170759860228,1,0.69,3.4,1.5,2
"beta_est...11",20,9,3,1.68858951089699,-1.31141048910301,0.00392926474186735,0.94,1,3.4,3,2
"beta_est...12",20,9,5,4.61133029745196,-0.388669702548037,0.00378963395058269,1,1,3.4,5,2
"beta_est...13",20,9,1.5,1.54297682251749,0.0429768225174867,0.0135782418811465,0,1,4.5,1.5,2
"beta_est...14",20,9,3,1.884421062701,-1.115578937299,0.00677192302223258,1,1,4.5,3,2
"beta_est...15",20,9,5,5.52107953331527,0.521079533315268,0.0121911912533559,1,1,4.5,5,2
"beta_est...16",20,9,1.5,-0.813024462615567,-2.31302446261557,0.00362483372338918,0,0,5.6,1.5,2
"beta_est...17",20,9,3,4.42417270006312,1.42417270006312,0.0237018934726305,1,1,5.6,3,2
"beta_est...18",20,9,5,4.16830783257464,-0.831692167425364,0.0123656251953329,1,1,5.6,5,2
"beta_est...19",20,9,1.5,0.672659366537475,-0.827340633462525,0.00914824803814271,0,1,6.7,1.5,2
"beta_est...20",20,9,3,3.3241377051529,0.324137705152904,0.00769573199985256,1,1,6.7,3,2
"beta_est...21",20,9,5,7.61404763651941,2.61404763651941,0.011947834694266,1,0,6.7,5,2
"beta_est...22",20,9,1.5,1.2082329261984,-0.291767073801598,0.022326103377241,0,1,7.8,1.5,2
"beta_est...23",20,9,3,5.74005708420724,2.74005708420724,0.00891889482482007,1,0,7.8,3,2
"beta_est...24",20,9,5,5.832704315171,0.832704315170998,0.00728401343006238,1,1,7.8,5,2
"beta_est...25",20,9,1.5,3.24762137550821,1.74762137550821,0.0354428868121843,1,0.2,8.9,1.5,2
"beta_est...26",20,9,3,3.0414078711088,0.0414078711087953,0.0278369797202932,0.39,1,8.9,3,2
"beta_est...27",20,9,5,7.4867548043099,2.4867548043099,0.0231067453961291,1,0.14,8.9,5,2
"beta_est...28",20,9,1.5,2.74472641037715,1.24472641037715,0.0188716142811377,0.94,1,10,1.5,2
"beta_est...29",20,9,3,1.15786769848618,-1.84213230151382,0.0040781745709694,0,1,10,3,2
"beta_est...30",20,9,5,6.11329271271186,1.11329271271186,0.0194500753842104,1,1,10,5,2
"beta_est...31",45,7,1.5,1.43087873497774,-0.0691212650222616,0.00137233803245444,1,1,0.1,1.5,5
"beta_est...32",45,7,3,3.02191281975752,0.021912819757517,0.000728500998125288,1,1,0.1,3,5
"beta_est...33",45,7,5,4.95304842500859,-0.0469515749914138,0.000756852680548637,1,1,0.1,5,5
"beta_est...34",45,7,1.5,2.42717540089417,0.92717540089417,0.0024865769390122,1,0,1.2,1.5,5
"beta_est...35",45,7,3,3.17556871394866,0.175568713948664,0.00175116811646995,1,1,1.2,3,5
"beta_est...36",45,7,5,4.96877469442405,-0.0312253055759514,0.00103671254088713,1,1,1.2,5,5
"beta_est...37",45,7,1.5,1.37291429009446,-0.127085709905542,0.00217999033287774,1,1,2.3,1.5,5
"beta_est...38",45,7,3,2.19460319914105,-0.805396800858946,0.00285689558898249,1,1,2.3,3,5
"beta_est...39",45,7,5,4.78325844679931,-0.216741553200689,0.00146972652586102,1,1,2.3,5,5
"beta_est...40",45,7,1.5,1.47879957440062,-0.0212004255993833,0.00187553562282379,1,1,3.4,1.5,5
"beta_est...41",45,7,3,2.64257886402012,-0.357421135979884,0.00173729609736785,1,1,3.4,3,5
"beta_est...42",45,7,5,4.87757545211373,-0.122424547886274,0.00165747140164681,1,1,3.4,5,5
"beta_est...43",45,7,1.5,1.25955152828108,-0.240448471718916,0.00458647427483127,0.08,1,4.5,1.5,5
"beta_est...44",45,7,3,2.44100356976632,-0.55899643023368,0.00266863772182666,1,1,4.5,3,5
"beta_est...45",45,7,5,4.72634073491042,-0.273659265089584,0.00498482382901679,1,1,4.5,5,5
"beta_est...46",45,7,1.5,1.99597692691417,0.495976926914166,0.00556206590127804,1,1,5.6,1.5,5
"beta_est...47",45,7,3,2.83168115133127,-0.168318848668734,0.00392294756587052,1,1,5.6,3,5
"beta_est...48",45,7,5,5.20070672198343,0.200706721983428,0.00498632124387835,1,1,5.6,5,5
"beta_est...49",45,7,1.5,1.78957458351009,0.289574583510093,0.00519798427933726,1,1,6.7,1.5,5
"beta_est...50",45,7,3,3.01557836160265,0.0155783616026466,0.00766815772042898,1,1,6.7,3,5
"beta_est...51",45,7,5,5.53389134357318,0.533891343573181,0.00559200864790748,1,1,6.7,5,5
"beta_est...52",45,7,1.5,1.56854161712901,0.0685416171290092,0.00703947113273951,0.96,1,7.8,1.5,5
"beta_est...53",45,7,3,3.89448921507995,0.894489215079949,0.0143615964248945,1,1,7.8,3,5
"beta_est...54",45,7,5,5.05328753413749,0.0532875341374953,0.00751688929388537,1,1,7.8,5,5
"beta_est...55",45,7,1.5,1.58361480810965,0.0836148081096521,0.00659138945840824,0,1,8.9,1.5,5
"beta_est...56",45,7,3,2.8852077023644,-0.114792297635595,0.00274642347848139,1,1,8.9,3,5
