"","n_clusters","n_obs_per_cluster","true_beta","beta_est_mean","min_beta_est","max_beta_est","beta_bias_mean","beta_est_var","power","ci_coverage","c1_c2_ratio"
"beta_est...1",10,19,1.5,1.5094045318647,-0.486024981578519,3.76454649938145,0.0094045318646957,0.440168624514836,0.51,0.94,2
"beta_est...2",10,46,1.5,1.40416675590793,-0.517131532392894,3.48976991686403,-0.0958332440920691,0.446423090676168,0.46,0.93,5
"beta_est...3",10,91,1.5,1.56640801125621,0.0443726417474564,3.04027304558687,0.0664080112562105,0.336992172504353,0.54,0.92,10
"beta_est...4",10,181,1.5,1.46559027091336,-0.47062988774893,2.94193390533883,-0.0344097290866386,0.428591312031474,0.45,0.93,20
"beta_est...5",15,12,1.5,1.45214602248109,0.261926561635308,3.52127487082864,-0.0478539775189137,0.328595891788934,0.65,0.95,2
"beta_est...6",15,29,1.5,1.47964144176977,0.363290182546683,2.97040981828584,-0.0203585582302259,0.263904006907095,0.73,0.95,5
"beta_est...7",15,57,1.5,1.4612934835668,-0.149733474913734,2.78484847345865,-0.0387065164332024,0.297601290752202,0.73,0.92,10
"beta_est...8",15,114,1.5,1.40628336633862,0.31583176547404,3.23230006002712,-0.0937166336613843,0.287860227654784,0.68,0.93,20
"beta_est...9",20,9,1.5,1.56945208074526,0.351443638173527,2.56769476066381,0.0694520807452636,0.237332740177273,0.91,0.91,2
"beta_est...10",20,21,1.5,1.42965429105991,0.0916838842340315,2.56578536985887,-0.0703457089400858,0.217313658096545,0.8,0.93,5
"beta_est...11",20,41,1.5,1.55086794395073,0.444000410803553,2.49698461483332,0.0508679439507277,0.170215807608874,0.91,0.97,10
"beta_est...12",20,81,1.5,1.42523488639472,0.308305328481166,2.58496257635103,-0.0747651136052828,0.217988969419593,0.86,0.91,20
"beta_est...13",25,7,1.5,1.4866746174694,0.544089964214619,2.57647661134228,-0.013325382530598,0.179529335751947,0.88,0.94,2
"beta_est...14",25,16,1.5,1.53161277025564,0.618115698452318,2.6959351396941,0.031612770255641,0.171360789832917,0.96,0.92,5
"beta_est...15",25,31,1.5,1.55609253903343,0.441621691896697,2.43834697339732,0.0560925390334267,0.170082963746323,0.94,0.92,10
"beta_est...16",25,61,1.5,1.63251571804742,0.597240989483383,2.801690690174,0.13251571804742,0.145429052830858,0.95,0.94,20
"beta_est...17",30,5,1.5,1.49536034516669,0.446370930917748,2.40427666135412,-0.00463965483330614,0.143572539950151,0.95,0.93,2
"beta_est...18",30,12,1.5,1.50572530503772,0.447164447333309,2.5357826468794,0.005725305037716,0.145364355253524,0.96,0.95,5
"beta_est...19",30,24,1.5,1.53458939353245,0.801928544236238,2.66517986602463,0.0345893935324459,0.127840445021945,1,0.95,10
"beta_est...20",30,47,1.5,1.48542226076788,0.310078428769899,2.41418399553439,-0.0145777392321197,0.170806300128233,0.95,0.94,20
"beta_est...21",35,4,1.5,1.43922474495688,0.763137026286887,2.27606124552923,-0.0607752550431227,0.144833710983566,0.94,0.95,2
"beta_est...22",35,10,1.5,1.57488251082593,0.751311375483239,2.57530259572839,0.0748825108259306,0.110861151762547,1,0.95,5
"beta_est...23",35,19,1.5,1.53059537426466,0.600601315429692,2.31493214573733,0.0305953742646557,0.101672441220026,0.98,0.96,10
"beta_est...24",35,38,1.5,1.48874471233784,0.574589703429554,2.63438834990215,-0.0112552876621622,0.124121177163673,0.99,0.95,20
"beta_est...25",40,4,1.5,1.48461839496285,0.678968703763409,2.132440864635,-0.0153816050371514,0.111642216950296,0.98,0.96,2
"beta_est...26",40,8,1.5,1.4924074114263,0.66343939922325,2.14138964144927,-0.00759258857369856,0.0970692352766471,0.99,0.94,5
"beta_est...27",40,16,1.5,1.50019625231487,0.908351219045696,2.30575793733821,0.000196252314868429,0.0997350783500518,1,0.96,10
"beta_est...28",40,31,1.5,1.50060124128068,0.799354279757181,2.14112508613986,0.000601241280674103,0.0917992660946025,1,0.98,20
"beta_est...29",45,3,1.5,1.52899993584194,0.593508192663879,2.51162338534531,0.0289999358419366,0.140259450661791,0.99,0.91,2
"beta_est...30",45,7,1.5,1.48290499591552,0.739507851759181,2.09942644080635,-0.0170950040844796,0.0834314403420561,1,0.97,5
"beta_est...31",45,13,1.5,1.50259356897752,0.729282337469734,2.21071659702742,0.00259356897752087,0.0692943531577968,1,0.96,10
"beta_est...32",45,25,1.5,1.47092564748179,0.681406318061768,2.1079947294468,-0.0290743525182147,0.117169139922955,1,0.94,20
"beta_est...33",50,3,1.5,1.45191672939248,0.571785395133254,2.20490492957299,-0.0480832706075212,0.106680491991888,0.97,0.93,2
"beta_est...34",50,6,1.5,1.51407527370581,0.92063597238383,2.47781516162841,0.0140752737058136,0.0859258724501484,1,0.95,5
"beta_est...35",50,11,1.5,1.47130921410163,0.730510250005039,2.20228282869311,-0.0286907858983654,0.0804505460220821,1,0.93,10
"beta_est...36",50,21,1.5,1.47499942623374,0.782823201398064,2.27769235607864,-0.0250005737662636,0.0926071090243038,1,0.93,20
