"","n_clusters","n_obs_per_cluster","true_beta","beta_est_mean","min_beta_est","max_beta_est","beta_bias_mean","beta_est_var","power","ci_coverage","sigma2","beta","c1_c2_ratio"
"beta_est...1",50,3,0.05,0.0137542717156365,-0.763303553064635,0.659999101608584,-0.0362457282843635,0.0705837735962372,0.05,0.95,0.1,0.05,2
"beta_est...2",50,3,0.5,0.486678963007988,-0.265691701954301,1.19857527012023,-0.0133210369920118,0.103901764948584,0.4,0.92,0.1,0.5,2
"beta_est...3",50,3,1.5,1.47799871628428,0.733554888071746,2.14670314311972,-0.022001283715724,0.0865712688019971,1,0.93,0.1,1.5,2
"beta_est...4",50,3,0.05,-0.00871436289474448,-0.575809852374817,0.772835774248584,-0.0587143628947445,0.0806862154091859,0.01,0.98,1.2,0.05,2
"beta_est...5",50,3,0.5,0.531663193744312,-0.252664920394318,1.48719044008328,0.0316631937443118,0.113468624901856,0.35,0.96,1.2,0.5,2
"beta_est...6",50,3,1.5,1.43137680098131,0.378611885621567,2.48208882621496,-0.0686231990186894,0.136729708583434,0.97,0.91,1.2,1.5,2
"beta_est...7",50,3,0.05,0.00422671407508051,-0.875134981174007,0.806893061108807,-0.0457732859249195,0.117041568322262,0.04,0.96,2.3,0.05,2
"beta_est...8",50,3,0.5,0.573110320954818,-0.380129376543543,1.38512014778925,0.0731103209548183,0.118450357167475,0.32,0.96,2.3,0.5,2
"beta_est...9",50,3,1.5,1.46349160240115,0.64362481184645,2.30525411653424,-0.036508397598851,0.163828891376704,0.95,0.91,2.3,1.5,2
"beta_est...10",50,3,0.05,0.0924415534553046,-1.10373008685173,0.916320374801511,0.0424415534553045,0.178953997205662,0.05,0.97,3.4,0.05,2
"beta_est...11",50,3,0.5,0.468131253162958,-0.531317893036174,1.59112505382537,-0.031868746837042,0.180934363339127,0.21,0.94,3.4,0.5,2
"beta_est...12",50,3,1.5,1.51092718908654,0.588848043882938,2.66630540410035,0.0109271890865394,0.176887744020223,0.93,0.98,3.4,1.5,2
"beta_est...13",50,3,0.05,0.0683501126964709,-1.14228425703427,1.16169544683855,0.0183501126964709,0.205897569471289,0.06,0.94,4.5,0.05,2
"beta_est...14",50,3,0.5,0.525646258259418,-0.55080018163318,1.6093967083172,0.0256462582594177,0.234472807544015,0.23,0.9,4.5,0.5,2
"beta_est...15",50,3,1.5,1.40437935211645,0.161392252064394,2.77156849103825,-0.0956206478835511,0.23381578946117,0.82,0.9,4.5,1.5,2
"beta_est...16",50,3,0.05,0.0565569549806044,-0.830306256607592,1.15505020994682,0.00655695498060436,0.191993482834729,0.02,0.98,5.6,0.05,2
"beta_est...17",50,3,0.5,0.504380828236653,-0.57494427345976,1.53650656805666,0.00438082823665311,0.216430093520691,0.16,0.93,5.6,0.5,2
"beta_est...18",50,3,1.5,1.54097191634812,0.602709957983848,2.78137701180123,0.0409719163481214,0.234204188709074,0.89,0.95,5.6,1.5,2
"beta_est...19",50,3,0.05,0.0491108093781414,-1.12436983265966,1.42434449455748,-0.000889190621858592,0.248873127639793,0.05,0.94,6.7,0.05,2
"beta_est...20",50,3,0.5,0.463277096042147,-0.9547978987296,1.77225275142423,-0.0367229039578535,0.221443105637828,0.12,0.95,6.7,0.5,2
"beta_est...21",50,3,1.5,1.55677737814174,0.352537410974345,3.16850300595532,0.0567773781417358,0.281946474105924,0.82,0.93,6.7,1.5,2
"beta_est...22",50,3,0.05,0.0841371848266765,-1.6647669483269,1.18838193833731,0.0341371848266765,0.293182837045007,0.04,0.95,7.8,0.05,2
"beta_est...23",50,3,0.5,0.427855510586801,-1.18337894453294,2.11453647823235,-0.0721444894131985,0.302657530134865,0.13,0.95,7.8,0.5,2
"beta_est...24",50,3,1.5,1.48112639233606,0.199502001701616,3.12009845149445,-0.0188736076639397,0.324546495046061,0.75,0.9,7.8,1.5,2
"beta_est...25",50,3,0.05,0.00841615925117779,-1.52671118843201,1.27514224333238,-0.0415838407488222,0.336985430557495,0.06,0.92,8.9,0.05,2
"beta_est...26",50,3,0.5,0.369567920627322,-1.19386394343762,1.76994221109242,-0.130432079372678,0.333001213997324,0.11,0.93,8.9,0.5,2
"beta_est...27",50,3,1.5,1.51454579971964,0.259033418330787,2.57344973101092,0.0145457997196374,0.223637085112046,0.78,0.99,8.9,1.5,2
"beta_est...28",50,3,0.05,0.0704973328232464,-1.19449842904074,1.30549974188857,0.0204973328232463,0.340521402603887,0.03,0.97,10,0.05,2
"beta_est...29",50,3,0.5,0.442732987741303,-1.16548830419773,1.77212366279345,-0.0572670122586966,0.394873063319035,0.16,0.95,10,0.5,2
"beta_est...30",50,3,1.5,1.45784609088601,-0.311683594143952,2.69626267194618,-0.0421539091139859,0.359396259863273,0.67,0.96,10,1.5,2
"beta_est...31",45,7,0.05,0.0798299603313463,-0.673782444304867,0.811081623437705,0.0298299603313463,0.100920356765673,0.09,0.9,0.1,0.05,5
"beta_est...32",45,7,0.5,0.498139244293909,-0.344880564831162,1.20025588264695,-0.00186075570609118,0.108926203538572,0.36,0.93,0.1,0.5,5
"beta_est...33",45,7,1.5,1.52068979002067,0.884528735970798,2.24448753857097,0.0206897900206688,0.107565969440827,1,0.93,0.1,1.5,5
"beta_est...34",45,7,0.05,0.0526994238834925,-0.858163255349284,0.65222733079011,0.00269942388349252,0.114050969947691,0.04,0.96,1.2,0.05,5
"beta_est...35",45,7,0.5,0.509822329357965,-0.476165155290663,1.47950650248973,0.00982232935796508,0.107702101494119,0.32,0.96,1.2,0.5,5
"beta_est...36",45,7,1.5,1.49029743922448,0.892627111993738,2.29322482917804,-0.00970256077552196,0.0912081671994534,1,0.93,1.2,1.5,5
"beta_est...37",45,7,0.05,0.0736943516278304,-0.75948507102679,1.03488478948637,0.0236943516278305,0.128686160770227,0.06,0.93,2.3,0.05,5
"beta_est...38",45,7,0.5,0.566599995823602,-0.324396769899305,1.86974741246383,0.0665999958236017,0.125285300871245,0.33,0.93,2.3,0.5,5
"beta_est...39",45,7,1.5,1.50306804208494,0.530148466027725,2.5433071686206,0.00306804208493788,0.131434372317456,0.99,0.95,2.3,1.5,5
"beta_est...40",45,7,0.05,0.0472952517133544,-0.82036565974622,0.915747243722487,-0.00270474828664562,0.145264601032698,0.07,0.92,3.4,0.05,5
"beta_est...41",45,7,0.5,0.48972230125132,-0.314634522619936,1.20550053966941,-0.0102776987486803,0.115037143789254,0.23,0.96,3.4,0.5,5
"beta_est...42",45,7,1.5,1.56651373832823,0.782936406591443,2.4961924307688,0.0665137383282317,0.156220671138696,1,0.93,3.4,1.5,5
"beta_est...43",45,7,0.05,0.028949610519967,-1.09051648448884,1.15164255579001,-0.021050389480033,0.158851496600135,0.06,0.93,4.5,0.05,5
"beta_est...44",45,7,0.5,0.564050881851922,-0.547653594559695,1.55039676438831,0.0640508818519219,0.155585105572495,0.24,0.93,4.5,0.5,5
"beta_est...45",45,7,1.5,1.52901550153993,0.610273295920459,2.51559589503027,0.0290155015399311,0.183258332067257,0.97,0.88,4.5,1.5,5
"beta_est...46",45,7,0.05,0.0235488523749094,-1.04671381833337,1.18171108320528,-0.0264511476250906,0.18959464274191,0.07,0.93,5.6,0.05,5
"beta_est...47",45,7,0.5,0.487321130495348,-0.280389910198845,1.47103648456368,-0.0126788695046519,0.130443824829407,0.19,0.98,5.6,0.5,5
"beta_est...48",45,7,1.5,1.51454720760177,0.520831462011367,2.43739479247287,0.0145472076017686,0.136438691940435,0.96,0.95,5.6,1.5,5
"beta_est...49",45,7,0.05,0.0596619151350114,-1.21243662233257,1.10505921949019,0.00966191513501139,0.173869278461532,0.05,0.95,6.7,0.05,5
"beta_est...50",45,7,0.5,0.545949999862981,-0.518628375948486,1.70504021720107,0.0459499998629813,0.203718714507694,0.27,0.94,6.7,0.5,5
"beta_est...51",45,7,1.5,1.5452198430411,0.412327548658785,2.78060440815724,0.0452198430410992,0.190330205388871,0.95,0.93,6.7,1.5,5
"beta_est...52",45,7,0.05,0.0598711548883978,-1.14578087056349,1.07582095718048,0.00987115488839783,0.153268414354724,0.02,0.98,7.8,0.05,5
"beta_est...53",45,7,0.5,0.494632262224972,-0.608776310280549,1.68648844858908,-0.00536773777502803,0.213908056276711,0.23,0.95,7.8,0.5,5
"beta_est...54",45,7,1.5,1.5567516103491,0.188677404295172,2.42681289709282,0.0567516103490956,0.220930589522667,0.9,0.95,7.8,1.5,5
"beta_est...55",45,7,0.05,0.023343190438041,-0.870836914027806,1.08638002973096,-0.026656809561959,0.145351360855986,0.02,0.96,8.9,0.05,5
"beta_est...56",45,7,0.5,0.542977887096546,-0.61609631130576,1.61156506956764,0.0429778870965457,0.217601253123928,0.22,0.92,8.9,0.5,5
"beta_est...57",45,7,1.5,1.54874388122862,0.358931337509547,2.71336605628853,0.0487438812286223,0.209786768877611,0.9,0.9,8.9,1.5,5
