"","n_clusters","n_obs_per_cluster","true_beta","beta_est_mean","min_beta_est","max_beta_est","beta_bias_mean","beta_est_var","power","ci_coverage","gamma2","beta","c1_c2_ratio"
"beta_est...1",45,3,0.05,0.0395825749977116,-0.194149948872231,0.261279127671971,-0.0104174250022884,0.0100212477755483,0.11,0.94,0.1,0.05,2
"beta_est...2",45,3,0.5,0.494963535273396,0.145417804760981,0.696133977793438,-0.00503646472660403,0.00861715690062446,0.99,0.97,0.1,0.5,2
"beta_est...3",45,3,1.5,1.49660960014569,1.17457051798077,1.75854386581588,-0.00339039985431126,0.00942832330525396,1,0.94,0.1,1.5,2
"beta_est...4",45,3,0.05,-0.0161627462439074,-0.700407342190025,0.609938953794568,-0.0661627462439074,0.0902552645491314,0.05,0.96,1.2,0.05,2
"beta_est...5",45,3,0.5,0.469888430902084,-0.55842673323916,1.48466815217997,-0.0301115690979164,0.122476409489221,0.34,0.95,1.2,0.5,2
"beta_est...6",45,3,1.5,1.4998364927249,0.666281284531414,2.33559376976904,-0.000163507275101484,0.0948317307932806,1,0.94,1.2,1.5,2
"beta_est...7",45,3,0.05,0.0349407888090582,-0.899589577669506,0.820600839704807,-0.0150592111909418,0.181096720801839,0.02,0.98,2.3,0.05,2
"beta_est...8",45,3,0.5,0.427279520082849,-0.762606736695168,1.83787673934351,-0.0727204799171509,0.275490375105548,0.22,0.92,2.3,0.5,2
"beta_est...9",45,3,1.5,1.50949686667773,0.309185390369624,2.9626587120048,0.00949686667772653,0.27833199971611,0.87,0.91,2.3,1.5,2
"beta_est...10",45,3,0.05,0.0333457936276747,-1.23330566095619,1.56725796033222,-0.0166542063723252,0.323757462275202,0.06,0.94,3.4,0.05,2
"beta_est...11",45,3,0.5,0.430105736005291,-1.16529326023577,2.06944593769015,-0.0698942639947084,0.403656541789411,0.2,0.91,3.4,0.5,2
"beta_est...12",45,3,1.5,1.49950448946698,0.298079756901451,3.04838834767027,-0.000495510533015736,0.317696089466057,0.79,0.95,3.4,1.5,2
"beta_est...13",45,3,0.05,0.131712574996262,-1.96243499826378,1.96185773143213,0.0817125749962615,0.581753586129384,0.12,0.88,4.5,0.05,2
"beta_est...14",45,3,0.5,0.530780609592504,-1.49813696564494,2.06979707288997,0.030780609592504,0.464780953991242,0.17,0.93,4.5,0.5,2
"beta_est...15",45,3,1.5,1.46348818636977,0.00181822945827522,3.57822573032474,-0.0365118136302283,0.491999987232748,0.6,0.94,4.5,1.5,2
"beta_est...16",45,3,0.05,-0.098141339044663,-1.68715022550126,1.75349885552256,-0.148141339044663,0.444695717356517,0.04,0.96,5.6,0.05,2
"beta_est...17",45,3,0.5,0.547730834651576,-0.963316567598417,2.66259799900656,0.0477308346515762,0.495498195832703,0.14,0.93,5.6,0.5,2
"beta_est...18",45,3,1.5,1.52378115905385,-0.714429410911892,2.87497632739722,0.0237811590538473,0.511310728858604,0.57,0.96,5.6,1.5,2
"beta_est...19",45,3,0.05,-0.0570863191102587,-2.53648064049851,2.05305161920183,-0.107086319110259,0.774922844662977,0.11,0.89,6.7,0.05,2
"beta_est...20",45,3,0.5,0.410177268750973,-1.90033475289853,2.19779056539477,-0.0898227312490271,0.703987216518752,0.09,0.91,6.7,0.5,2
"beta_est...21",45,3,1.5,1.37163748437387,-0.446683215536498,3.00666799033154,-0.128362515626132,0.572463312929101,0.49,0.93,6.7,1.5,2
"beta_est...22",45,3,0.05,0.11094681846201,-2.55340797558638,1.79181606593829,0.0609468184620097,0.736945176108933,0.06,0.94,7.8,0.05,2
"beta_est...23",45,3,0.5,0.441019761648626,-2.1066535006563,2.6007116118661,-0.058980238351374,0.676207458751442,0.09,0.96,7.8,0.5,2
"beta_est...24",45,3,1.5,1.37242911581597,-1.05460844785869,3.54132146678336,-0.127570884184035,0.888674165543811,0.42,0.88,7.8,1.5,2
"beta_est...25",45,3,0.05,0.132304674045499,-2.41800657000974,2.92535929812289,0.0823046740454991,1.09096629687732,0.08,0.91,8.9,0.05,2
"beta_est...26",45,3,0.5,0.606102885136019,-1.97511870027144,3.07255300335043,0.106102885136019,0.887312063349736,0.14,0.91,8.9,0.5,2
"beta_est...27",45,3,1.5,1.47909672369239,-1.18721204957991,4.32366967609854,-0.0209032763076139,1.0345795882673,0.4,0.92,8.9,1.5,2
"beta_est...28",45,3,0.05,0.120189310392895,-1.84142419564586,2.91849798176385,0.070189310392895,0.7548838062408,0.04,0.96,10,0.05,2
"beta_est...29",45,3,0.5,0.294852788456025,-2.2233962419258,2.08084304609383,-0.205147211543975,0.776816888909977,0.06,0.94,10,0.5,2
"beta_est...30",45,3,1.5,1.37500443707593,-1.46079886082164,4.68079695982644,-0.12499556292407,1.13107206331111,0.35,0.93,10,1.5,2
"beta_est...31",50,6,0.05,0.048773777992012,-0.209002387797268,0.282319432933607,-0.00122622200798804,0.00819041900245769,0.09,0.94,0.1,0.05,5
"beta_est...32",50,6,0.5,0.5049014261095,0.271021808116939,0.780660694049134,0.00490142610949961,0.00862644098434516,1,0.93,0.1,0.5,5
"beta_est...33",50,6,1.5,1.48605826589866,1.22450275907464,1.69807471953425,-0.0139417341013358,0.00668576382795632,1,0.97,0.1,1.5,5
"beta_est...34",50,6,0.05,0.017326824914677,-0.611191038155795,0.822022237435759,-0.032673175085323,0.104832684701897,0.06,0.92,1.2,0.05,5
"beta_est...35",50,6,0.5,0.503437809464967,-0.447338486375629,1.42983388520272,0.00343780946496655,0.0994815941132676,0.41,0.95,1.2,0.5,5
"beta_est...36",50,6,1.5,1.50324578286604,0.561986822928826,2.52636934950729,0.00324578286604185,0.118062349795778,1,0.95,1.2,1.5,5
"beta_est...37",50,6,0.05,0.0283388993659428,-1.0807105460335,1.03835566755291,-0.0216611006340572,0.168901522828027,0.05,0.95,2.3,0.05,5
"beta_est...38",50,6,0.5,0.483956615888752,-0.562402195833169,1.37298496580346,-0.0160433841112481,0.160807403166952,0.17,0.96,2.3,0.5,5
"beta_est...39",50,6,1.5,1.52599941495838,0.646421959870727,2.72903891180025,0.0259994149583765,0.157352968368701,0.95,0.96,2.3,1.5,5
"beta_est...40",50,6,0.05,0.0644757756327212,-1.1744705977676,1.06689368244079,0.0144757756327212,0.216165512912802,0.03,0.97,3.4,0.05,5
"beta_est...41",50,6,0.5,0.535351281362413,-0.507019004819605,1.69851356780219,0.0353512813624135,0.227327455793231,0.19,0.96,3.4,0.5,5
"beta_est...42",50,6,1.5,1.50172715612291,-0.103630459676771,2.68701784879528,0.00172715612290657,0.270488077912293,0.82,0.95,3.4,1.5,5
"beta_est...43",50,6,0.05,0.0424924174593345,-1.94180712832978,1.61643299774346,-0.0075075825406655,0.365662611379253,0.07,0.95,4.5,0.05,5
"beta_est...44",50,6,0.5,0.485231061421081,-1.0218819362025,1.74226542299867,-0.0147689385789191,0.327274057291974,0.14,0.92,4.5,0.5,5
"beta_est...45",50,6,1.5,1.51138652113821,0.131364692959123,3.30794318466623,0.0113865211382064,0.408243725654797,0.71,0.92,4.5,1.5,5
"beta_est...46",50,6,0.05,0.0736128022460669,-2.09828807426401,1.28118482985059,0.0236128022460669,0.395778532856834,0.04,0.97,5.6,0.05,5
"beta_est...47",50,6,0.5,0.586949756229755,-1.00209980916475,2.04355312636636,0.0869497562297547,0.442126715219805,0.16,0.94,5.6,0.5,5
"beta_est...48",50,6,1.5,1.41643645326513,-0.144065163001594,2.64221981047266,-0.083563546734865,0.364501901363891,0.55,0.99,5.6,1.5,5
"beta_est...49",50,6,0.05,0.10064781629496,-1.74839547595995,1.8810177711496,0.0506478162949605,0.52984304816524,0.07,0.94,6.7,0.05,5
"beta_est...50",50,6,0.5,0.504878078007835,-1.78590767210684,2.43955034403823,0.00487807800783487,0.494133911344077,0.09,0.95,6.7,0.5,5
"beta_est...51",50,6,1.5,1.61202171959182,-0.459577964803445,3.37908845512264,0.112021719591822,0.608055120724387,0.6,0.91,6.7,1.5,5
"beta_est...52",50,6,0.05,-0.0732143831223685,-2.50584059009595,1.61086580485727,-0.123214383122369,0.512501974667256,0.02,0.97,7.8,0.05,5
"beta_est...53",50,6,0.5,0.632038944887269,-1.62573719162473,2.67828506066108,0.132038944887268,0.641226741833557,0.17,0.93,7.8,0.5,5
"beta_est...54",50,6,1.5,1.51895204807349,-0.922242639085824,4.30521776214756,0.0189520480734926,0.656368132764495,0.54,0.94,7.8,1.5,5
"beta_est...55",50,6,0.05,0.128855336146028,-1.51447458554562,2.10204586886437,0.0788553361460282,0.621786656952638,0.04,0.95,8.9,0.05,5
"beta_est...56",50,6,0.5,0.543891984233149,-1.30373474164256,2.23050649651616,0.0438919842331488,0.60994863566969,0.1,0.96,8.9,0.5,5
"beta_est...57",50,6,1.5,1.5178811489281,-0.60175264456571,3.52964669414032,0.0178811489280982,0.750203610428007,0.47,0.97,8.9,1.5,5
"beta_est...58",50,6,0.05,0.396338755941817,-1.92324050980319,2.54119444749361,0.346338755941817,0.734292230782852,0.06,0.95,10,0.05,5
"beta_est...59",50,6,0.5,0.570638083216981,-2.13431207210949,2.69166950776303,0.0706380832169807,0.819289822550691,0.13,0.93,10,0.5,5
"beta_est...60",50,6,1.5,1.46735111693943,-1.14987829105085,4.08434757573265,-0.0326488830605673,0.899143346139471,0.37,0.9,10,1.5,5
